danceability,playlist_genre,valence,track_artist,track_popularity,track_album_name,track_id,track_name,track_album_release_date,instrumentalness,acousticness
0.815,rock,0.877,Dominic Fike,77,"Don't Forget About Me, Demos",0uI7yAKUf52Cn7y3sYyjiX,3 Nights,2018-10-16,0.0,0.223
0.611,rock,0.751,The Smiths,77,The Smiths,1FvDJ9KGxcqwv1utyPL3JZ,This Charming Man - 2011 Remaster,1984-02-20,0.0,0.00509
0.598,rock,0.611,Royel Otis,76,Oysters In My Pocket,2B664ulJSVBd6B8SAY3Wux,Oysters In My Pocket,2022-03-10,0.799,0.0205
0.654,rock,0.79,Arctic Monkeys,76,Favourite Worst Nightmare,2x8evxqUlF0eRabbW2JBJd,Fluorescent Adolescent,2007-04-22,0.000144,0.00146
0.621,rock,0.744,New Radicals,74,Maybe You've Been Brainwashed Too,1Cwsd5xI8CajJz795oy4XF,You Get What You Give,1998-01-01,0.0,0.17
0.898,rock,0.727,Rex Orange County,74,WHO CARES?,1gH1h30wkQdd9zhY3j7a8T,THE SHADE,2022-03-11,0.0,0.391
0.438,rock,0.421,MGMT,73,Oracular Spectacular,4iG2gAwKXsOcijVaVXzRPW,Time to Pretend,2007-12-14,0.0777,8.74e-05
0.636,rock,0.66,Big Thief,73,Vampire Empire,0ToG55iJZCOzZkcpWbXxpW,Vampire Empire,2023-07-19,0.0,0.287
0.66,rock,0.527,The American Dawn,73,Her,2vlkTkPqdATznKHu9gD2c1,Her,2024-07-26,0.0144,0.00566
0.502,rock,0.307,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus",72,the record,09DR0sHnQUhHOiSNttc1mv,Not Strong Enough,2023-03-31,1.11e-05,0.00291
0.633,rock,0.725,Bakar,71,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Hell N Back,2019-08-15,8.95e-05,0.314
0.665,rock,0.451,Crumb,71,Jinx,0R3TWpoxAhT3HDXM7tpRzS,Ghostride,2019-06-14,0.819,0.516
0.539,rock,0.679,The Strokes,69,Is This It,7hm4HTk9encxT0LYC0J6oI,Someday,2001-07-30,0.0,0.00425
0.823,rock,0.826,Vansire,69,Metamodernity,4RGWHfQeJftd5XrP8JUgFj,Metamodernity,2019-06-11,0.165,0.389
0.615,rock,0.293,alt-J,68,An Awesome Wave,3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,2012-09-18,0.000911,0.096
0.781,rock,0.961,Mk.gee,68,ROCKMAN,63ABAnFKJCp28TAyqf2cGL,ROCKMAN,2024-10-18,3.78e-06,0.66
0.668,country,0.858,Kenny Rogers,73,The Gambler,5KqldkCunQ2rWxruMEtGh0,The Gambler,1978-11-20,0.0,0.342
0.606,country,0.621,George Strait,70,Strait From The Heart,4TnUKixNWMfajncgdSwFoi,Amarillo By Morning,1982-01-01,3.39e-05,0.264
0.363,country,0.612,"Waylon Jennings, Willie Nelson",68,Waylon & Willie,7nVQ8mo77KaUvhUQzh4vMy,Mammas Don't Let Your Babies Grow up to Be Cowboys,1978-01-01,0.00119,0.623
0.434,r&b,0.239,"SZA, Travis Scott",80,SOS,6koKhrBBcExADvWuOgceNZ,Open Arms (feat. Travis Scott),2022-12-08,0.0144,0.753
0.545,r&b,0.549,Frank Ocean,87,Blonde,3xKsf9qdS1CyvXSMEid6g8,Pink + White,2016-08-20,5.48e-05,0.667
0.524,r&b,0.436,"Daniel Caesar, H.E.R.",84,Freudian,1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),2017-08-25,0.0,0.808
0.662,r&b,0.676,"USHER, Alicia Keys",79,Confessions (Expanded Edition),68vgtRHr7iZHpzGpon6Jlo,My Boo,2004-03-23,0.0,0.257
0.684,r&b,0.498,Miguel,85,All I Want Is You,0JXXNGljqupsJaZsgSbMZV,Sure Thing,2010-11-26,0.000307,0.0267
0.559,r&b,0.392,SZA,86,SOS,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,2022-12-09,0.0,0.141
0.609,r&b,0.166,Alicia Keys,81,The Diary Of Alicia Keys,3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,2003-12-02,6.86e-06,0.603
0.689,r&b,0.382,Brent Faiyaz,78,Poison,5NijSs5dAwaIybq1GaRTIe,Poison,2016-08-03,0.000905,0.711
0.911,r&b,0.969,Mary J. Blige,78,No More Drama,3aw9iWUQ3VrPQltgwvN9Xu,Family Affair,2001-08-28,4.35e-05,0.133
0.662,r&b,0.655,Chris Brown,74,Exclusive (Expanded Edition),5Lgcn7u07bHuqbOtXkN62u,With You,2007-11-06,0.0,0.134
0.692,r&b,0.406,SZA,80,Ctrl,2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,2017-06-09,0.0,0.131
0.372,r&b,0.127,Miguel,79,All I Want Is You,1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,2010-11-26,0.000175,0.856
0.81,r&b,0.697,Brent Faiyaz,80,Larger Than Life,1zgHn1EqUyA0HqNYMdJ5ia,Best Time,2023-10-27,0.00298,0.16
0.45,r&b,0.408,"H.E.R., Bryson Tiller",75,I Used To Know Her,6oEVnWKgPqIEPc53OYDNqG,Could've Been (feat. Bryson Tiller),2019-08-30,3.8e-06,0.649
0.665,r&b,0.707,Ashanti,72,Ashanti,6zMUIb4uce1CzpbjR3vMdN,Foolish,2002-01-01,0.0,0.347
0.652,r&b,0.482,Alicia Keys,76,Songs In A Minor,0KQx6HOpJueiSkztcS0r7D,Fallin',2001-06-05,0.00101,0.263
0.358,r&b,0.276,SZA,84,SOS,5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,2022-12-09,0.0,0.805
0.583,r&b,0.581,Brent Faiyaz,78,Fuck The World,2J6OF7CkpdQGSfm1wdclqn,Clouded,2020-02-07,0.0,0.774
0.452,r&b,0.578,Ne-Yo,78,In My Own Words,6brl7bwOHmGFkNw3MBqssT,So Sick,2006-01-01,0.0,0.245
0.704,r&b,0.761,"Brandy, Monica",73,Never Say Never,6sHsXIJoEN5JpdkGMQDJxt,The Boy Is Mine,1998-05-29,0.00106,0.539
0.536,r&b,0.57,Chris Brown,71,Chris Brown (Expanded Edition),7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),2005,0.0,0.119
0.644,r&b,0.418,SZA,86,SOS,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,2022-12-08,0.144,0.0521
0.646,r&b,0.789,Brent Faiyaz,77,Larger Than Life,2JqkpMe2eJToJNHEqkJeCu,Forever Yours,2023-10-27,0.000279,0.00426
0.641,r&b,0.152,Alicia Keys,76,No One (Remixes),0mZ5GyrHG908lqrHaTw4hi,No One,2007-10-09,4.63e-06,0.027
0.59,r&b,0.352,USHER,76,Raymond v Raymond (Expanded Edition),030OCtLMrljNhp8OWHBWW3,Hey Daddy (Daddy's Home),2010-03-30,0.0,0.000176
0.741,r&b,0.72,"Jhené Aiko, Swae Lee",76,Trip,2pg2TiYo9Rb8KeB5JjP7jS,Sativa,2017-09-22,0.0,0.316
